Date,Sales,Segment
2015-01-01,6217.277,Furniture
2015-02-01,1839.658,Furniture
2015-03-01,14243.368,Furniture
2015-04-01,7944.8369999999995,Furniture
2015-05-01,6912.787,Furniture
2015-06-01,13144.5816,Furniture
2015-07-01,10821.051,Furniture
2015-08-01,7125.2105,Furniture
2015-09-01,23816.4808,Furniture
2015-10-01,12304.247,Furniture
2015-11-01,21471.0407,Furniture
2015-12-01,30637.3425,Furniture
2016-01-01,11739.9416,Furniture
2016-02-01,3134.374,Furniture
2016-03-01,8722.6374,Furniture
2016-04-01,10475.6985,Furniture
2016-05-01,9374.950499999999,Furniture
2016-06-01,7540.971,Furniture
2016-07-01,13667.039999999999,Furniture
2016-08-01,9638.5922,Furniture
2016-09-01,25085.423,Furniture
2016-10-01,11664.4875,Furniture
2016-11-01,30197.500500000002,Furniture
2016-12-01,22812.2512,Furniture
2017-01-01,7622.743,Furniture
2017-02-01,3925.551,Furniture
2017-03-01,12272.662,Furniture
2017-04-01,13212.09,Furniture
2017-05-01,14892.575,Furniture
2017-06-01,12450.524,Furniture
2017-07-01,12569.759,Furniture
2017-08-01,11910.0583,Furniture
2017-09-01,26755.4749,Furniture
2017-10-01,11813.009,Furniture
2017-11-01,31783.6288,Furniture
2017-12-01,36604.965,Furniture
2018-01-01,5930.162,Furniture
2018-02-01,6774.3774,Furniture
2018-03-01,10893.4448,Furniture
2018-04-01,9065.9581,Furniture
2018-05-01,16957.5582,Furniture
2018-06-01,17032.3867,Furniture
2018-07-01,11375.822,Furniture
2018-08-01,15419.122,Furniture
2018-09-01,28516.706000000002,Furniture
2018-10-01,21884.0682,Furniture
2018-11-01,37056.715000000004,Furniture
2018-12-01,31407.466800000002,Furniture
