Date,Sales,Segment
2015-01-01,4845.14,Office Supplies
2015-02-01,1071.724,Office Supplies
2015-03-01,8602.455,Office Supplies
2015-04-01,10988.874,Office Supplies
2015-05-01,7131.639999999999,Office Supplies
2015-06-01,12742.389,Office Supplies
2015-07-01,15121.208,Office Supplies
2015-08-01,11055.276,Office Supplies
2015-09-01,27423.298000000003,Office Supplies
2015-10-01,7211.128,Office Supplies
2015-11-01,26363.196,Office Supplies
2015-12-01,16956.492,Office Supplies
2016-01-01,1808.78,Office Supplies
2016-02-01,5368.067,Office Supplies
2016-03-01,13472.739,Office Supplies
2016-04-01,12517.818,Office Supplies
2016-05-01,8941.58,Office Supplies
2016-06-01,9623.037,Office Supplies
2016-07-01,4706.243,Office Supplies
2016-08-01,11735.108,Office Supplies
2016-09-01,19031.055,Office Supplies
2016-10-01,8642.36,Office Supplies
2016-11-01,21178.298,Office Supplies
2016-12-01,16099.322,Office Supplies
2017-01-01,5299.682,Office Supplies
2017-02-01,6794.349999999999,Office Supplies
2017-03-01,17324.545,Office Supplies
2017-04-01,10577.175,Office Supplies
2017-05-01,12931.642,Office Supplies
2017-06-01,10901.81,Office Supplies
2017-07-01,12903.824,Office Supplies
2017-08-01,8959.74,Office Supplies
2017-09-01,23013.402,Office Supplies
2017-10-01,16236.65,Office Supplies
2017-11-01,20141.808,Office Supplies
2017-12-01,37332.938,Office Supplies
2018-01-01,21052.979,Office Supplies
2018-02-01,7378.172,Office Supplies
2018-03-01,14541.346,Office Supplies
2018-04-01,14214.947,Office Supplies
2018-05-01,13493.804,Office Supplies
2018-06-01,14221.101,Office Supplies
2018-07-01,10239.356,Office Supplies
2018-08-01,29799.564,Office Supplies
2018-09-01,31607.523,Office Supplies
2018-10-01,22708.4,Office Supplies
2018-11-01,31472.337,Office Supplies
2018-12-01,29638.012,Office Supplies
