Date,Sales,Segment
2015-01-01,3143.29,Technology
2015-02-01,1608.51,Technology
2015-03-01,32359.974000000002,Technology
2015-04-01,8973.144,Technology
2015-05-01,9599.876,Technology
2015-06-01,8435.965,Technology
2015-07-01,7839.284,Technology
2015-08-01,8937.05,Technology
2015-09-01,30383.748,Technology
2015-10-01,11938.018,Technology
2015-11-01,30073.424,Technology
2015-12-01,20573.224000000002,Technology
2016-01-01,4518.236,Technology
2016-02-01,3448.9700000000003,Technology
2016-03-01,10143.942,Technology
2016-04-01,11160.952000000001,Technology
2016-05-01,11643.0,Technology
2016-06-01,6435.366,Technology
2016-07-01,10234.976,Technology
2016-08-01,15444.642,Technology
2016-09-01,19017.128,Technology
2016-10-01,10704.89,Technology
2016-11-01,23873.601,Technology
2016-12-01,35632.028,Technology
2017-01-01,5620.066,Technology
2017-02-01,12258.914,Technology
2017-03-01,21567.852,Technology
2017-04-01,14890.502,Technology
2017-05-01,28832.691,Technology
2017-06-01,16372.152,Technology
2017-07-01,12847.2,Technology
2017-08-01,9672.402,Technology
2017-09-01,19424.514,Technology
2017-10-01,31533.374,Technology
2017-11-01,27141.059,Technology
2017-12-01,21801.218,Technology
2018-01-01,16493.333,Technology
2018-02-01,5768.448,Technology
2018-03-01,33428.622,Technology
2018-04-01,12261.005000000001,Technology
2018-05-01,13374.62,Technology
2018-06-01,16937.24,Technology
2018-07-01,23209.926,Technology
2018-08-01,17619.162,Technology
2018-09-01,26028.659,Technology
2018-10-01,32855.663,Technology
2018-11-01,49409.103,Technology
2018-12-01,21984.91,Technology
