Date,Sales,Segment
2015-01-01,2938.723,West
2015-02-01,1057.956,West
2015-03-01,11008.898,West
2015-04-01,9070.357,West
2015-05-01,6570.438,West
2015-06-01,9629.422,West
2015-07-01,21808.553,West
2015-08-01,12742.949,West
2015-09-01,14900.537,West
2015-10-01,8728.758,West
2015-11-01,23044.9365,West
2015-12-01,24406.4355,West
2016-01-01,6026.736000000001,West
2016-02-01,1804.1779999999999,West
2016-03-01,12268.467999999999,West
2016-04-01,9015.284,West
2016-05-01,12042.6555,West
2016-06-01,5088.95,West
2016-07-01,7089.826,West
2016-08-01,12548.359,West
2016-09-01,12562.572,West
2016-10-01,13623.493999999999,West
2016-11-01,13825.732,West
2016-12-01,27813.313,West
2017-01-01,3657.822,West
2017-02-01,3100.162,West
2017-03-01,17559.031,West
2017-04-01,10482.009,West
2017-05-01,10694.247,West
2017-06-01,18527.007,West
2017-07-01,15280.883,West
2017-08-01,11817.852,West
2017-09-01,19701.3185,West
2017-10-01,15624.694,West
2017-11-01,23923.005,West
2017-12-01,32103.198,West
2018-01-01,12081.844000000001,West
2018-02-01,9434.781,West
2018-03-01,29024.097999999998,West
2018-04-01,13459.753,West
2018-05-01,15365.986,West
2018-06-01,15844.9395,West
2018-07-01,20767.539,West
2018-08-01,25471.374,West
2018-09-01,27107.217,West
2018-10-01,21203.092,West
2018-11-01,28718.207,West
2018-12-01,29652.095,West
